Sex,Diet,Transport,Vehicle Monthly Distance Km,CarbonEmission
male,vegan,private,7968,4950
male,vegan,private,3443,3041
male,pescatarian,public,1150,923
male,omnivore,public,54,2033
male,omnivore,private,1239,1596
female,vegan,walk/bicycle,16,1686
male,omnivore,public,1959,3291
female,vegan,walk/bicycle,62,1133
male,pescatarian,private,7189,1589
male,omnivore,private,2165,2572
male,omnivore,private,7063,4136
male,pescatarian,public,1796,3154
female,vegetarian,public,1405,2086
female,vegetarian,private,6113,1951
male,pescatarian,private,1430,2330
female,vegetarian,private,5157,3842
male,pescatarian,private,830,2441
male,vegan,private,1597,3147
female,vegetarian,public,1377,946
female,pescatarian,walk/bicycle,43,1229
female,vegetarian,private,7044,3143
female,pescatarian,private,9604,3572
male,pescatarian,public,1935,2869
female,pescatarian,walk/bicycle,26,1598
male,vegetarian,private,9259,1711
female,pescatarian,public,659,1844
female,vegan,walk/bicycle,38,1444
male,vegan,private,2883,2068
male,vegan,public,352,951
male,pescatarian,walk/bicycle,13,2153
male,omnivore,public,1604,994
female,omnivore,private,1715,1371
male,vegan,private,465,3231
male,pescatarian,public,39,2356
male,vegan,public,893,1312
female,omnivore,public,1567,1463
male,omnivore,private,9683,5176
male,vegetarian,walk/bicycle,77,3348
male,vegetarian,walk/bicycle,53,1807
female,vegan,private,8916,4640
female,omnivore,public,1979,2631
female,vegetarian,walk/bicycle,6,2256
female,pescatarian,private,7871,2775
female,pescatarian,public,779,1246
male,vegetarian,private,5846,3610
male,pescatarian,walk/bicycle,28,2548
female,pescatarian,private,6590,3052
female,omnivore,public,1779,2363
male,vegetarian,public,867,2399
male,omnivore,private,7513,4580
female,vegetarian,private,5557,3258
male,vegan,private,5792,3129
male,omnivore,walk/bicycle,53,2647
female,omnivore,walk/bicycle,77,1356
male,vegan,private,1222,2130
female,pescatarian,public,1251,1485
male,vegetarian,private,2363,2746
male,vegan,walk/bicycle,8,3110
female,vegan,private,2740,1381
female,pescatarian,walk/bicycle,61,1067
female,vegetarian,private,942,2147
male,vegan,public,1378,1668
female,pescatarian,walk/bicycle,87,1376
male,vegan,walk/bicycle,8,1316
female,vegan,public,276,2627
male,vegetarian,public,1364,3187
male,omnivore,private,7699,3038
male,pescatarian,walk/bicycle,69,1130
male,pescatarian,private,7724,3725
female,omnivore,public,1672,1539
male,omnivore,public,520,1597
female,vegan,private,8406,606
male,pescatarian,public,691,1942
male,vegan,walk/bicycle,21,1208
male,vegan,public,1931,2875
male,pescatarian,private,8773,6093
female,vegetarian,walk/bicycle,18,1953
male,vegetarian,private,3731,4130
male,vegan,private,8155,2935
female,omnivore,public,755,844
male,vegan,public,371,3365
female,pescatarian,walk/bicycle,7,1931
male,vegan,walk/bicycle,51,1785
female,pescatarian,walk/bicycle,88,2581
female,vegan,private,9425,3495
female,pescatarian,walk/bicycle,40,1083
male,vegan,public,1091,2028
male,vegetarian,private,3150,3425
female,vegan,walk/bicycle,78,1316
female,vegetarian,private,3220,2686
female,omnivore,private,298,1009
male,omnivore,private,502,3218
female,omnivore,public,826,2598
female,pescatarian,walk/bicycle,9,1245
male,pescatarian,private,1743,2281
male,vegetarian,walk/bicycle,67,1096
male,omnivore,walk/bicycle,23,1486
female,omnivore,private,3974,3482
male,omnivore,private,3080,2542
female,omnivore,public,1539,1688
male,pescatarian,walk/bicycle,16,1799
female,omnivore,walk/bicycle,93,1461
male,vegan,public,666,1278
female,pescatarian,walk/bicycle,60,1474
female,pescatarian,walk/bicycle,88,2465
male,vegan,walk/bicycle,68,1226
female,vegan,walk/bicycle,89,1013
male,omnivore,walk/bicycle,97,1587
female,omnivore,walk/bicycle,42,1296
female,vegan,walk/bicycle,83,1377
male,vegetarian,walk/bicycle,31,2580
female,vegan,public,1495,1684
male,omnivore,walk/bicycle,67,1787
male,vegetarian,walk/bicycle,44,1276
male,vegan,public,1914,1585
male,vegan,private,4334,2386
male,omnivore,private,2352,1991
female,vegetarian,private,8443,3202
male,pescatarian,public,571,2005
female,vegetarian,walk/bicycle,19,1808
female,vegan,private,9969,4350
female,vegetarian,private,9844,4570
female,pescatarian,public,1158,2078
male,vegetarian,private,3711,1761
male,omnivore,public,1902,3062
male,vegetarian,walk/bicycle,74,1843
male,pescatarian,public,449,2927
female,vegan,private,4132,2309
male,vegan,walk/bicycle,35,1276
female,vegetarian,private,9122,3542
female,vegan,public,124,1245
female,pescatarian,public,1588,2123
female,pescatarian,private,1812,2070
female,omnivore,walk/bicycle,27,1064
female,vegan,public,677,2945
male,vegan,private,5815,3261
male,vegetarian,walk/bicycle,78,1015
male,vegetarian,public,407,1749
female,omnivore,walk/bicycle,42,2311
male,pescatarian,walk/bicycle,18,2451
male,pescatarian,public,1105,2086
male,pescatarian,walk/bicycle,21,2752
male,omnivore,walk/bicycle,36,1457
female,omnivore,public,1271,1523
female,vegan,public,1804,1255
male,pescatarian,private,6507,4220
female,pescatarian,public,830,2175
female,omnivore,private,8951,5474
male,omnivore,walk/bicycle,62,1993
female,vegetarian,public,120,2402
male,omnivore,private,2620,2865
female,pescatarian,walk/bicycle,95,1587
male,omnivore,private,6615,4178
male,vegan,walk/bicycle,61,1792
female,omnivore,private,5009,3223
male,pescatarian,private,7493,6438
female,omnivore,private,4045,3166
female,vegetarian,walk/bicycle,24,1284
female,vegetarian,public,1328,1493
male,omnivore,public,839,2735
male,vegetarian,private,6014,3397
male,pescatarian,public,359,2611
female,vegetarian,public,1839,1478
female,omnivore,public,929,2917
female,vegan,walk/bicycle,61,2442
male,omnivore,private,9089,4144
male,vegan,walk/bicycle,46,1078
female,vegetarian,public,1814,1161
male,pescatarian,public,333,2363
male,pescatarian,public,1389,1926
male,omnivore,public,40,1530
female,vegetarian,walk/bicycle,8,1534
female,vegan,walk/bicycle,39,1325
male,vegetarian,public,1435,2262
male,vegetarian,public,104,2213
female,vegan,public,1500,3141
male,vegetarian,walk/bicycle,21,1704
male,vegetarian,walk/bicycle,60,1479
female,pescatarian,private,1018,1999
male,pescatarian,walk/bicycle,49,2534
male,omnivore,public,370,2037
male,omnivore,walk/bicycle,91,1122
female,vegan,public,1318,1723
male,vegan,private,9953,5416
male,pescatarian,public,1311,1685
male,pescatarian,private,6415,5267
male,vegan,walk/bicycle,20,1827
male,pescatarian,private,6229,3234
male,omnivore,public,827,1433
female,omnivore,private,4193,2263
female,pescatarian,walk/bicycle,37,1433
male,omnivore,walk/bicycle,96,2235
male,vegetarian,walk/bicycle,7,1414
male,omnivore,public,535,2237
female,vegetarian,private,135,2373
female,pescatarian,private,3983,2307
female,pescatarian,private,8328,3164
female,vegetarian,walk/bicycle,38,692
female,vegan,private,8163,4615
male,pescatarian,private,2728,2141
female,omnivore,private,3695,1894
female,pescatarian,walk/bicycle,83,930
female,vegetarian,walk/bicycle,3,2645
female,omnivore,walk/bicycle,64,1364
female,vegetarian,private,7678,3708
male,vegan,walk/bicycle,19,2336
female,vegan,private,3252,1422
male,pescatarian,walk/bicycle,60,1797
female,pescatarian,walk/bicycle,71,2118
male,vegan,private,3038,2764
male,pescatarian,walk/bicycle,26,3678
male,omnivore,private,7367,5696
male,pescatarian,public,52,495
female,omnivore,walk/bicycle,17,2539
male,pescatarian,private,6738,6355
female,vegan,walk/bicycle,42,1608
female,vegetarian,walk/bicycle,86,1527
female,pescatarian,walk/bicycle,23,2398
female,vegetarian,walk/bicycle,44,2110
female,vegetarian,walk/bicycle,68,1221
female,vegetarian,walk/bicycle,62,1548
female,omnivore,walk/bicycle,14,2390
female,pescatarian,walk/bicycle,18,1010
male,pescatarian,walk/bicycle,93,1558
male,pescatarian,private,5067,2983
male,vegan,public,1034,2007
male,pescatarian,walk/bicycle,35,1212
male,pescatarian,private,6972,2632
female,pescatarian,walk/bicycle,84,2927
female,vegan,private,9351,3844
male,vegan,public,271,1744
male,vegan,walk/bicycle,6,3079
female,omnivore,public,62,1983
female,vegetarian,walk/bicycle,24,1087
female,omnivore,private,9811,3898
female,pescatarian,walk/bicycle,76,2225
female,omnivore,public,1154,880
male,pescatarian,public,1645,2199
male,vegan,walk/bicycle,73,1501
male,omnivore,walk/bicycle,21,2104
male,vegan,public,179,2441
male,pescatarian,private,5618,1758
female,omnivore,private,5872,3627
male,vegetarian,public,964,3640
female,pescatarian,private,1921,1892
female,omnivore,public,1642,1443
male,vegetarian,walk/bicycle,67,1951
male,vegetarian,public,1828,2031
female,vegan,walk/bicycle,17,1950
male,vegetarian,walk/bicycle,64,824
male,vegan,walk/bicycle,45,1947
male,pescatarian,walk/bicycle,26,2401
female,vegan,private,4730,2210
male,vegetarian,public,516,806
male,omnivore,private,9149,2260
female,vegan,walk/bicycle,71,2265
male,vegetarian,walk/bicycle,38,2786
female,pescatarian,private,3962,2799
female,vegan,private,2622,1782
male,pescatarian,public,656,2696
male,vegan,walk/bicycle,67,1702
male,pescatarian,public,383,1160
female,vegetarian,public,1133,1201
male,pescatarian,walk/bicycle,69,1490
female,pescatarian,walk/bicycle,48,2359
male,omnivore,walk/bicycle,32,1337
female,vegetarian,walk/bicycle,45,1116
female,vegan,walk/bicycle,88,867
male,omnivore,walk/bicycle,94,1970
female,vegetarian,public,1102,1092
female,pescatarian,public,412,1151
male,vegetarian,public,1229,1461
female,vegan,private,6933,2790
female,pescatarian,walk/bicycle,17,2314
male,omnivore,public,335,2892
female,pescatarian,public,995,2220
female,omnivore,public,626,2380
female,pescatarian,walk/bicycle,50,1815
male,pescatarian,walk/bicycle,11,1504
male,pescatarian,walk/bicycle,53,1419
female,vegan,public,1527,1577
female,pescatarian,walk/bicycle,60,1040
female,omnivore,walk/bicycle,46,569
male,pescatarian,public,185,1458
male,pescatarian,public,24,2955
male,vegan,private,2314,3816
male,pescatarian,public,1582,2393
male,omnivore,private,9857,6233
female,pescatarian,private,2799,3363
male,omnivore,public,1006,1784
male,pescatarian,walk/bicycle,56,2421
female,vegetarian,walk/bicycle,90,1741
female,vegetarian,private,9947,5557
female,pescatarian,public,1510,2354
female,vegetarian,private,8270,3751
male,vegetarian,walk/bicycle,97,2492
male,omnivore,public,498,2500
male,omnivore,walk/bicycle,85,2280
male,vegetarian,public,466,1091
male,omnivore,public,1557,1488
male,omnivore,walk/bicycle,43,2603
female,pescatarian,private,5589,2056
male,omnivore,public,98,2157
female,vegetarian,walk/bicycle,82,1297
female,vegetarian,private,5562,3969
female,vegetarian,public,891,1495
male,omnivore,walk/bicycle,40,3543
male,omnivore,public,1941,2798
male,omnivore,walk/bicycle,10,1460
male,omnivore,private,3632,2014
female,pescatarian,public,1488,596
female,pescatarian,walk/bicycle,21,1486
female,pescatarian,private,2991,1740
female,vegan,public,304,1078
female,omnivore,walk/bicycle,68,1252
female,pescatarian,walk/bicycle,99,972
female,pescatarian,private,8099,2924
female,vegetarian,private,2683,1656
male,vegan,private,6802,4154
female,omnivore,public,1012,1542
male,vegan,walk/bicycle,64,1252
male,vegetarian,public,54,2044
female,pescatarian,private,2336,2400
female,pescatarian,private,294,1299
male,pescatarian,public,1571,904
male,pescatarian,public,1076,2175
male,vegetarian,private,768,2961
female,vegetarian,public,1773,2876
male,omnivore,walk/bicycle,52,3343
female,vegan,public,1346,1192
female,vegan,walk/bicycle,24,1246
female,vegan,walk/bicycle,39,2262
male,vegan,public,909,1340
male,vegan,public,1136,1143
male,vegan,public,1016,2355
male,omnivore,private,2264,3303
male,omnivore,private,4327,1193
male,vegetarian,walk/bicycle,1,3149
female,vegan,walk/bicycle,6,1367
female,vegan,walk/bicycle,80,1105
male,vegan,public,38,1734
male,vegan,private,2976,2746
female,omnivore,public,992,1506
female,pescatarian,private,1807,1985
female,vegetarian,private,8358,3301
male,vegetarian,private,2705,2080
male,vegan,private,9156,4232
female,vegan,walk/bicycle,33,1639
female,vegan,private,6465,919
female,pescatarian,walk/bicycle,5,554
female,pescatarian,walk/bicycle,69,2692
male,vegan,private,9198,3238
male,omnivore,walk/bicycle,77,3847
male,omnivore,private,7723,5279
female,omnivore,private,3227,3122
female,omnivore,private,8526,5516
female,vegan,private,7363,4480
male,omnivore,public,1298,3765
male,vegan,walk/bicycle,17,1454
female,vegetarian,walk/bicycle,68,705
male,vegan,private,5794,2969
female,vegan,walk/bicycle,24,1631
female,vegan,public,692,1263
female,vegetarian,private,1126,2803
male,vegetarian,walk/bicycle,11,1382
female,pescatarian,public,1593,1522
female,omnivore,walk/bicycle,14,1786
female,omnivore,public,1523,1644
male,omnivore,public,341,936
male,vegan,private,11,1270
male,pescatarian,private,1616,2143
female,pescatarian,private,570,1265
male,pescatarian,walk/bicycle,19,1401
female,pescatarian,walk/bicycle,50,2025
female,vegan,walk/bicycle,93,2307
female,pescatarian,walk/bicycle,60,1820
male,pescatarian,private,3160,1688
male,vegetarian,walk/bicycle,78,2708
female,omnivore,private,7321,2817
female,vegan,public,201,1765
female,vegan,private,4273,2386
female,pescatarian,walk/bicycle,40,1376
male,vegetarian,walk/bicycle,28,849
female,vegan,private,5844,3866
female,vegetarian,walk/bicycle,13,1241
male,pescatarian,private,9280,5238
female,vegan,private,5917,3328
female,omnivore,private,3498,1697
male,omnivore,public,817,3379
female,vegan,public,667,928
female,omnivore,public,727,2194
female,pescatarian,walk/bicycle,77,2107
male,vegetarian,public,4,3151
male,pescatarian,public,183,2304
male,vegetarian,private,4023,2904
female,omnivore,public,1815,1043
male,vegetarian,walk/bicycle,81,2015
female,vegan,public,1104,2061
female,vegetarian,walk/bicycle,93,2592
male,vegetarian,private,7657,3038
female,pescatarian,walk/bicycle,53,1452
male,pescatarian,walk/bicycle,87,1131
female,vegan,public,520,1671
female,pescatarian,public,494,843
male,pescatarian,private,8406,4761
female,vegan,private,4130,2808
male,vegan,private,4004,1674
male,pescatarian,private,7726,2006
male,vegan,walk/bicycle,15,2209
male,pescatarian,public,190,2157
female,vegetarian,private,9324,4456
male,vegetarian,public,1047,1486
male,omnivore,public,1188,1801
female,vegan,private,6317,4423
female,pescatarian,walk/bicycle,87,1979
male,pescatarian,public,383,2989
male,vegetarian,walk/bicycle,9,2305
female,omnivore,private,159,2155
male,vegan,private,1272,1731
female,vegetarian,walk/bicycle,16,2747
male,omnivore,private,1123,1395
female,vegetarian,public,1000,1932
female,omnivore,private,1444,1454
male,pescatarian,public,1973,2073
male,vegetarian,public,687,2568
female,vegan,walk/bicycle,71,2670
male,vegetarian,private,1702,3289
male,vegan,walk/bicycle,68,3331
female,omnivore,public,840,2218
male,omnivore,walk/bicycle,86,1545
male,pescatarian,public,80,1241
male,pescatarian,walk/bicycle,38,2545
female,pescatarian,private,6906,3046
female,vegetarian,public,761,1476
male,pescatarian,public,282,1104
male,pescatarian,public,450,2712
male,pescatarian,public,959,848
female,pescatarian,public,528,2820
female,pescatarian,public,62,1610
female,vegetarian,private,9446,4042
male,vegan,public,731,2276
female,omnivore,private,4244,2894
male,vegan,walk/bicycle,19,1351
female,vegetarian,public,1140,2018
female,pescatarian,private,2466,2631
male,vegan,walk/bicycle,86,1238
female,pescatarian,private,2388,2362
female,vegetarian,public,216,2448
male,pescatarian,public,441,2262
female,vegan,public,1398,1509
male,pescatarian,public,564,1336
female,vegan,walk/bicycle,82,2474
female,pescatarian,walk/bicycle,89,2545
male,omnivore,private,3400,3731
male,vegan,private,2451,2055
male,pescatarian,private,9197,3270
male,vegetarian,private,3316,2458
male,vegetarian,public,1802,863
male,omnivore,public,74,1087
male,vegan,walk/bicycle,71,1710
male,pescatarian,walk/bicycle,95,3043
male,vegan,public,729,2032
male,vegetarian,public,1713,2668
male,omnivore,walk/bicycle,44,1616
female,pescatarian,walk/bicycle,56,1042
female,vegetarian,public,1506,1946
male,pescatarian,walk/bicycle,75,2422
female,omnivore,private,6807,4709
female,pescatarian,private,7460,4264
female,vegan,private,5108,1975
female,vegan,public,1243,2151
female,vegan,public,840,1319
male,vegetarian,private,1452,1619
female,omnivore,private,5013,3961
male,omnivore,private,2392,2929
female,omnivore,walk/bicycle,70,1451
female,vegan,private,3364,1037
male,omnivore,private,6372,3737
female,pescatarian,public,1212,1423
male,omnivore,public,958,1293
female,vegan,walk/bicycle,13,1890
female,vegan,private,4354,3766
female,omnivore,walk/bicycle,40,1390
female,vegetarian,walk/bicycle,83,1260
female,vegetarian,public,293,1886
male,omnivore,walk/bicycle,83,1440
female,vegan,walk/bicycle,26,1542
female,vegetarian,public,2000,1944
male,pescatarian,private,4242,2859
female,vegan,public,784,862
male,pescatarian,private,1015,2506
female,vegetarian,walk/bicycle,11,1964
male,vegetarian,walk/bicycle,48,2154
female,vegetarian,public,971,1211
female,vegan,walk/bicycle,0,1413
male,vegan,walk/bicycle,9,1836
female,omnivore,public,1863,1615
female,omnivore,walk/bicycle,96,1556
male,pescatarian,private,5437,2608
female,pescatarian,public,1759,1764
female,vegan,private,5891,2538
male,vegetarian,walk/bicycle,14,1182
male,vegan,public,1745,1715
male,vegan,public,102,1548
female,omnivore,public,1456,2249
female,omnivore,private,9487,4261
female,omnivore,public,1572,1214
female,omnivore,walk/bicycle,49,1371
female,omnivore,private,5737,5565
male,omnivore,private,6770,2459
female,vegetarian,walk/bicycle,7,1072
male,pescatarian,private,9523,4822
male,omnivore,private,5131,3153
male,vegetarian,walk/bicycle,68,1059
male,pescatarian,walk/bicycle,86,3703
female,omnivore,public,1257,1886
female,vegetarian,private,6685,1372
male,omnivore,walk/bicycle,24,1218
female,omnivore,private,58,1372
female,pescatarian,walk/bicycle,1,1325
male,vegetarian,public,653,2391
male,vegetarian,public,1773,1731
male,pescatarian,public,1958,2851
female,vegetarian,private,4717,2412
male,vegetarian,walk/bicycle,18,880
male,vegan,private,1187,2358
female,vegetarian,walk/bicycle,19,2125
male,pescatarian,private,7195,1899
male,omnivore,private,5476,1541
male,omnivore,public,1591,1526
female,vegetarian,walk/bicycle,66,690
female,omnivore,walk/bicycle,83,2130
female,omnivore,walk/bicycle,72,2224
female,vegetarian,walk/bicycle,16,1814
female,pescatarian,public,481,1101
male,vegetarian,private,578,1384
male,omnivore,public,946,2005
female,vegan,walk/bicycle,12,2165
male,pescatarian,private,8768,2342
female,vegetarian,private,4661,2002
male,vegetarian,public,1585,1306
female,pescatarian,walk/bicycle,96,1202
male,omnivore,public,398,2547
female,pescatarian,walk/bicycle,63,1437
female,omnivore,public,335,2191
male,vegan,private,8679,3891
male,vegetarian,walk/bicycle,8,1558
female,omnivore,public,640,3498
male,vegan,private,6761,4016
male,omnivore,public,1725,2158
male,omnivore,private,2076,2967
female,pescatarian,private,2829,2639
female,omnivore,private,6652,3328
male,vegetarian,public,393,1005
male,omnivore,private,1134,1400
female,omnivore,walk/bicycle,69,2189
female,omnivore,public,303,1264
male,vegetarian,private,646,2481
male,omnivore,walk/bicycle,62,1977
male,pescatarian,walk/bicycle,95,2591
male,omnivore,public,750,2552
female,omnivore,public,1606,1553
female,vegan,public,1239,1484
female,pescatarian,private,5210,3326
male,omnivore,walk/bicycle,56,1838
female,vegan,private,7074,2783
male,omnivore,public,255,1496
male,omnivore,private,6068,3281
male,vegetarian,public,1665,1363
female,omnivore,private,9950,5029
male,pescatarian,public,1651,1337
female,vegan,public,472,2306
female,vegetarian,walk/bicycle,16,2021
female,pescatarian,public,1033,2893
female,pescatarian,public,872,1044
male,pescatarian,private,3811,4594
male,omnivore,private,2915,3071
female,omnivore,walk/bicycle,34,2067
male,vegetarian,public,1835,2666
female,vegetarian,private,4763,1024
female,vegan,public,1595,1518
male,vegetarian,public,356,3061
female,vegetarian,public,770,1131
male,omnivore,public,526,3559
female,vegetarian,private,3940,1875
female,pescatarian,private,3689,3231
female,vegetarian,walk/bicycle,53,1983
female,pescatarian,private,278,1436
female,vegetarian,private,4623,2598
female,vegan,walk/bicycle,95,610
female,omnivore,public,402,1287
male,vegan,private,4272,2539
female,vegan,walk/bicycle,68,1098
female,pescatarian,public,1509,2570
male,vegan,public,1518,1154
male,omnivore,public,1130,2894
male,vegetarian,walk/bicycle,89,1641
female,vegetarian,private,1274,2562
male,vegan,public,1886,2523
female,vegan,private,3946,2112
male,omnivore,public,1476,2379
female,pescatarian,walk/bicycle,80,2901
female,pescatarian,private,3870,2489
female,omnivore,private,1616,3077
female,vegetarian,walk/bicycle,95,2896
female,vegan,private,6098,3523
male,vegetarian,private,6117,2376
female,pescatarian,walk/bicycle,0,2365
female,vegan,walk/bicycle,25,1823
female,omnivore,walk/bicycle,93,1749
female,vegan,public,1529,1286
female,pescatarian,walk/bicycle,1,1496
male,vegan,private,9901,1786
female,vegetarian,public,1383,2019
male,vegetarian,walk/bicycle,39,1023
male,omnivore,private,5931,1307
male,pescatarian,private,681,2334
female,pescatarian,private,9795,4711
male,vegan,private,1861,2226
female,vegan,public,522,2019
female,vegan,public,1157,1200
male,vegetarian,private,5284,2232
male,omnivore,walk/bicycle,56,1757
male,vegan,public,450,1327
male,vegan,public,1112,3198
female,omnivore,private,74,2543
male,vegan,public,625,1557
male,omnivore,walk/bicycle,64,775
female,vegetarian,public,1301,1553
female,vegetarian,public,422,1697
male,vegan,public,1416,1708
male,omnivore,private,5105,3813
male,omnivore,walk/bicycle,42,2227
female,pescatarian,public,1790,1805
male,omnivore,private,5097,3425
female,vegan,walk/bicycle,35,453
male,omnivore,private,3557,4127
male,vegan,private,7501,4059
male,vegetarian,private,7316,4914
female,vegan,public,780,2132
male,pescatarian,walk/bicycle,91,1475
female,vegan,public,569,978
male,omnivore,public,190,2915
male,pescatarian,walk/bicycle,65,1437
female,pescatarian,private,5729,1313
male,pescatarian,walk/bicycle,67,2495
female,vegan,walk/bicycle,42,1824
female,vegetarian,walk/bicycle,21,1675
female,vegan,walk/bicycle,82,2380
female,pescatarian,public,1400,1832
male,vegetarian,public,1221,1075
female,vegetarian,public,295,2022
female,omnivore,walk/bicycle,37,1875
male,vegetarian,public,1952,1033
male,pescatarian,public,557,2714
female,vegetarian,public,1865,1460
male,vegetarian,private,8238,3407
male,vegan,walk/bicycle,78,2549
male,vegan,walk/bicycle,93,3246
male,pescatarian,walk/bicycle,66,1396
female,omnivore,walk/bicycle,59,2357
male,vegan,public,1676,2690
male,vegan,private,8787,5145
male,vegetarian,private,4686,745
male,vegan,public,705,2162
male,pescatarian,private,1701,1224
female,vegan,walk/bicycle,9,2400
male,vegetarian,public,284,1174
female,omnivore,public,117,2156
female,vegan,public,1843,1265
female,omnivore,public,1544,2982
female,pescatarian,public,376,1161
female,omnivore,private,5048,1683
male,omnivore,walk/bicycle,17,1756
female,vegan,walk/bicycle,22,2571
female,vegan,private,1869,3688
female,vegetarian,walk/bicycle,1,1766
male,vegan,public,1416,1902
male,vegetarian,walk/bicycle,90,1119
male,pescatarian,public,1060,2318
female,vegetarian,public,278,1235
male,vegan,walk/bicycle,49,1210
male,vegetarian,private,5470,2553
male,vegan,public,1804,2416
male,vegan,walk/bicycle,53,2906
male,pescatarian,private,6989,3679
female,omnivore,walk/bicycle,32,1640
male,vegan,walk/bicycle,60,1021
male,omnivore,public,1688,1980
female,vegetarian,walk/bicycle,68,579
male,vegan,public,418,2305
male,pescatarian,walk/bicycle,23,1304
female,pescatarian,walk/bicycle,21,1696
female,omnivore,walk/bicycle,24,1994
male,omnivore,walk/bicycle,67,2007
male,vegan,public,1325,1646
female,vegetarian,private,1901,1651
female,vegan,walk/bicycle,33,1730
female,vegetarian,private,1750,2808
female,omnivore,private,8855,4068
male,vegan,private,7141,3007
male,omnivore,walk/bicycle,26,2990
female,pescatarian,walk/bicycle,97,2841
female,omnivore,walk/bicycle,97,1709
female,omnivore,public,1297,1346
male,vegetarian,private,9440,3789
female,vegetarian,walk/bicycle,36,1262
male,vegan,walk/bicycle,46,1050
male,pescatarian,private,5165,1124
female,omnivore,walk/bicycle,77,1919
female,omnivore,public,675,1996
female,omnivore,walk/bicycle,96,1775
male,pescatarian,private,1638,1847
female,vegetarian,walk/bicycle,90,2196
female,vegan,private,1477,1537
female,vegan,public,1429,1704
male,vegan,public,1009,1665
female,vegetarian,public,1259,1836
male,vegan,walk/bicycle,4,1586
male,omnivore,walk/bicycle,78,1274
male,vegetarian,private,3212,2590
female,vegetarian,private,2222,1892
female,vegetarian,private,2028,3086
male,vegan,public,1442,2151
male,pescatarian,walk/bicycle,76,1732
male,vegetarian,public,682,1179
female,pescatarian,walk/bicycle,59,872
male,pescatarian,public,326,3015
female,pescatarian,public,1133,1123
male,pescatarian,private,9543,5147
female,vegetarian,walk/bicycle,87,1266
female,omnivore,walk/bicycle,98,2650
male,vegan,walk/bicycle,67,1557
male,omnivore,walk/bicycle,74,2334
male,pescatarian,private,4339,3919
male,vegan,walk/bicycle,86,1322
male,vegetarian,private,8076,4672
female,vegetarian,public,320,1662
male,omnivore,walk/bicycle,35,1554
male,vegan,private,6589,4952
male,vegetarian,public,1428,1751
male,vegetarian,public,1502,2598
male,vegan,private,9930,4167
female,vegan,walk/bicycle,47,1305
male,pescatarian,public,1574,1814
male,pescatarian,walk/bicycle,62,3051
male,vegan,walk/bicycle,74,1741
female,vegan,public,1770,921
female,vegan,public,323,836
female,pescatarian,walk/bicycle,22,1079
male,pescatarian,private,2276,2861
female,pescatarian,public,1732,2893
female,omnivore,public,409,2477
female,pescatarian,private,7056,5023
male,pescatarian,private,9156,4749
male,pescatarian,walk/bicycle,55,1355
male,vegan,walk/bicycle,48,1371
female,vegan,private,7569,2147
male,vegetarian,public,40,1400
female,vegan,walk/bicycle,71,1803
male,vegetarian,public,1046,2768
female,omnivore,public,1521,1803
female,vegan,private,3550,2752
male,omnivore,walk/bicycle,67,1599
male,pescatarian,private,7467,4115
female,vegetarian,walk/bicycle,47,2549
male,pescatarian,public,643,1130
female,omnivore,private,7459,3445
male,pescatarian,public,1013,1962
male,omnivore,walk/bicycle,5,1984
female,pescatarian,walk/bicycle,27,1238
male,pescatarian,walk/bicycle,0,1381
female,omnivore,walk/bicycle,77,1218
male,vegan,walk/bicycle,32,3022
male,vegetarian,private,28,1719
female,vegetarian,private,1334,2444
female,omnivore,public,1993,1185
female,omnivore,private,723,1880
male,omnivore,public,422,2632
male,vegetarian,private,7831,5880
female,pescatarian,private,5264,836
male,pescatarian,private,4368,5303
male,vegetarian,private,6369,2705
male,vegan,walk/bicycle,94,773
female,omnivore,public,556,1225
female,pescatarian,walk/bicycle,7,769
female,vegan,private,5320,3085
female,vegetarian,public,850,1396
female,omnivore,walk/bicycle,32,1540
male,pescatarian,walk/bicycle,32,2938
male,vegetarian,private,7452,3255
male,omnivore,public,1379,3015
female,vegetarian,public,64,779
male,pescatarian,private,3077,2728
female,omnivore,walk/bicycle,9,1657
male,vegetarian,public,1333,3043
male,pescatarian,public,4,2705
female,pescatarian,walk/bicycle,66,2266
male,vegan,walk/bicycle,78,1656
female,omnivore,walk/bicycle,74,1092
male,pescatarian,private,1171,4324
male,vegetarian,public,611,2146
male,omnivore,private,8697,5808
female,pescatarian,public,138,2424
male,vegan,public,105,3149
female,vegan,private,9604,5307
male,vegetarian,public,1774,2265
female,pescatarian,public,1315,725
male,omnivore,walk/bicycle,42,1889
male,vegan,walk/bicycle,55,2248
female,vegetarian,walk/bicycle,6,1733
male,omnivore,public,1920,2007
female,omnivore,private,4450,3255
female,vegan,public,967,1179
male,vegetarian,public,358,1252
female,vegetarian,walk/bicycle,4,909
female,vegan,public,672,1074
male,vegetarian,public,74,1933
male,pescatarian,walk/bicycle,66,2097
female,omnivore,public,418,2270
male,vegan,private,9846,4335
male,vegan,private,2822,2023
male,omnivore,public,444,2556
female,pescatarian,walk/bicycle,58,933
female,vegan,public,1692,2929
female,omnivore,private,5401,2063
female,pescatarian,public,956,1316
female,vegan,private,2701,2099
female,omnivore,public,1502,2039
male,vegetarian,walk/bicycle,24,2090
male,omnivore,public,1575,1652
male,pescatarian,private,2509,1789
female,vegetarian,private,379,1602
male,vegetarian,private,3768,2467
male,omnivore,public,526,2508
